price_open,price_high,price_low,price_close
732,757.99,729.01,754.9
750.76,798.7,742.5,784.19
784.19,818.99,767.62,809.4
808.24,830,790.2,828.79
828.79,948,826.07,905
905,995,876,919.24
915.8,943,785,785
785,899.84281,765,823.45
823.94,870,779.78,824.76
825.5,861.4,799.41,852.61
851.63,918.05471,849.51,896.39
895,905,826.46,844.05
844.04,859.99999,783.11,823
823.99,877.293,800,815.99
815.99,864,805.18,841.14
841.14,865,810.01,814.4
814.4,835.06427,765,797.2
797.2,844.14159,796,810
811.22,848.9,791.01,842.07
841.5,855,815,826.02
827.21,845.98999,814,824.89
824.88,834.53144,801,819.2
819.2,830.88899,801.1,811.22
810.95,835.48427,767.02,780
780,830,773.4,806.8
806.81,840,795.01,814.75
814.67,840,725,751.95
750.95,830,740.01,788
785.51,826.22571,781.99,794.21
794.26,815.23135,770.7,799.99
799.99,812.63409,791,803
803,835,802.59,813.23
813.23,835,810.23,814.99
814.94,819.8,800.5,808.5
806.99,819.78,796.83,802.87
803,815.89934,775,782.33
802.5,803.72713,752,763.99
764,775.2051,619,705.01
705.01,730,662.01,680.49
680.49,756.0998,666.21,687.37
688,748,530,687.81
688.34,720,631,675.1
677,709.93,631.58,651.99
650.04,680,595.6295,604.11
609.4,712.9,538.01,669
670.34,682.78028,628.88,655.83
655.83,670,590.01,621
621,679.05833,593.67544,633.19
633.66,652.50738,609.99,627.7
627.7,640,602.90667,623.01
623,641.3624,560.9,561.86
561.86,597.05351,530.01,581.35
583,620.9,562.15,610.88
610.77,650.27996,599.78,610.09
609.26,629,514.02,535.49
535.49,568.09339,400,535
534.34,650,530,585.24
585.24,629.9,571.22,583
584.7,599,541,551.89
551.8,605,535,567.47
567.46,588.079,553,566.24
565.38,710,562.02,677.69
677.69,720,633.64,673
673.27,690.17141,651.9,669.99
669,693,650,669.57
669.57,680.463,613.45,632.79
632.79,667.98953,604.5,620
620.02,658,613.03,639.25
638.4,684.5,609,629.39
628.02,665.93423,560,632.1
631.72,660,550.275,634.95
634.95,657.99101,620,641.01
641.02,654.91385,550,630.42
631,646,618.29313,637.12
637.58,652,629.02,634.99
634.99,641.14149,616.00101,621.11
622.97,633.989,591.13,612.26
613.84,633.663,605.11,620.062
610.01,625.01788,578.66,587.98
585.6,615.22654,556,570
569.99,596,541,565.31
564.31,596,556.74,561
558.22,592.6,547,585.99
585.9,591.14973,568.86,583.77
583.77,641.14149,565,581.49
581.48,599.27378,466.1,475
475,553,468.3,502.01
502.01,518,486.97,491.99
491.99,506.17549,436,460
460,530,438,454.83
454.81,509.98,452.04,478.98
478.98,497.1468,430,439
438.9,465,416.11,450.86
451.03,550,430.77,452.2
449.74,467.85,441.25,464.8
464.8,469.43834,450,456.43
460.67,475.32049,446,447.11
447.11,465.8242,446.24,453.57
453.57,462.09031,438.08,441.69
441.69,450.01,357.57,363.12
363.1,583.75327,339.79,423
423,450,413.72,423.42
424.91,445.97999,397.16,416.3
416.29,480.06527,408,458.5
472.77984,573.66927,450.49878,521
523.1,548,490.55578,530
529.26,533.8,481.63,500.09
500.09,515,470,483.11
482.1,525.28225,472.81,503.8
505.18,516.53,493,500
501.07,517.31024,485,496.74
497.98,510.49,484.62239,490
490,497.73461,484.61,492
491.94,505,480,502.2
502.15,503.99,438.05,466.52
466.71,472.13557,451.07,459
459.22,463.6817,429.95,430
430,455.0942,424,442.9
440.41,454.62328,432.02,448
448,453.99,433.08,448.85
449,465.88,447.97,460.97
460.97,462.99,444.51,454.5
452,454.5,431,439
439,445.40401,429.55,438.04
435.88,445,425,433
431.64,439.68974,420.27,428.01
429,452.74422,425.67,440
441.47,451.99976,437.61,437.69
439.6,459.22214,437.71,452.37
452.78,459.24,446.0967,455.39
457.7,458.2,429.6,440
437.67,445.22171,431.56,442.5
442.48,444.7599,430.61,439.12
439.12,449.96,438.36,446
444.07,452.67,440.89001,446
446.27,453.83236,444.5,447.31
447.55,453.83236,445.01,449.06
448.66,453.80005,444.52,446.91
446.91,450,441.44,448.34
448.34,500,447.14,489
489,499.1,487.11,493.98
493.98,530,492.65,529.99
529.99,548.05423,515.31152,523.77
523.75,529.99999,515.20587,528.44
528.44,589,527.09,573.9
573.5,593.48,563.67667,581.88
581.87,595,538.83992,572.7
572.7,589.16,563.45,580.66
580.66,582.1,560.05,572.37
572.37,629.4,566.15006,621
621,629.0355,603.86986,627.8
627.8,683.26,618.53,630.99
630.99,678,613.03,661.22
662,680.99,649.61,670.14
668.9,673.61,525,640.59
640.55,669.74995,639.69,661.48
661.46,662.13,647.16,647.16
647.16,659.8,635.88,657.13
657.13,661.11,646.001,658
658,659,636.50109,648.83
648.83,657.71523,642.45,648.55
648.55,652.39,615,620.5
623.81,637.06225,550,569.1
569.98,617.306,563,592
592,600,538.38,566.58
566.58,595.38177,534.2759,588.55
592,612.91177,574.17532,586.91
587,610.2,580,606.48
606.48,625,599.9,607
607.99,627.05395,590,593.4
593.41,602.794,578.508,588.02
590,598.50479,580,591.29
591.33,605.05,584.748,600.34
600.34,601,580.46,588.22
588.22,595.22794,572.1,572.62
574,579.7,554.45,560.4
560.4,583.2618,557.2,579.99
580.09,600,574,599.99
599.99,604.382,589.56,589.56
591.46,602.302,589.56,599.89
599.86,647.09,587.724,641.11
640,658.88,634.164,638.25
638.25,658.87046,638,650.5
650.49,655.08161,638.79,645.99
648.48,652.78999,616.3,629
628.81,634.607,618,630
630.9,639.48798,622.86,630.57
633.87,638.973,612.9,622.09
622.09,626.87452,614.74195,623.98
623.98,627.89636,615.35044,621.97
621.96,632.10834,607.9,616.87
616.87,635,613.46,635
634.99,642.57,628.7,638.1
637.9,653.49,625.28785,630.88
630.88,632.67046,616.84,621.17
621.15,626.25,616.09,622.9
622.9,626.16276,610.01,616.86
617.39,630.00997,610,622.2
626.3,632.96,615.17054,632.6
632.59,632.6,625,628.63
630,630,619,627
626.98,629.76875,615,622.73
622.63,624.99,618.26,618.26
619.99,623.98,610,621
620.95,623.43078,591.12,601.66
603.96,615,592.97,602.93
602.93,607.95528,590,596.23
596.23,602.83,589,590.3
592.61,599.99999,570.5,586.53
589.88,597.66468,575.0711,585.95
585.93,588.98043,557.12,563.84
563.83,591.9492,555.9,582.04
583.54,607.2,581.77,598.2
597.84,601.18073,584.95,589.59
589.6,594.80136,578.21,588.91
588.96,596.2458,579.32951,588.5
588.5,598.03405,578.25,581.76
581.75,586.36,576.44,581.16
581.16,593.00001,577.23864,585.84
585.84,595,583.91906,588.02
588.99,591.35,578.13503,587.97
589.82,597,583.24163,590.96
590.98,595.36446,571,573.98
574.55,579.99771,561.9,566.69
569.39,572,524.55,548.81
549.85,553.8341,497,507.99
507.99,530,481.55,500.25
502.48,529.85,485,521.97
523.47,539.99462,485.39,496.86
498,510,442,475.22
474.74,500.5,453.01,491.98
491.98,530,466,516.39
516.39,534.14,500.00642,519.28
519.29,529.96506,482.21557,514.65
514.65,529.95437,482.27458,497
496.96,524.87999,495.02,507.85
507.84,524.87998,490.10042,503.82
503.74,516,502.27,512.18
514.4,524.85421,510,511.87
511.87,514.98,495.08275,506
506.94,524.87551,501.25,509.3
509.3,524.76998,495.25973,500.85
501.49,509.98296,473.33,479.04
479.01,490.01,472.01,474.54
475.89,524.76939,470.42,474.5
474.5,477.99,471,474.89
474.86,497,471.04,487.43
489.61,489.96,473.03,477.65
477.65,524.77,477.16,479.78
479.99,500,474.95,475.43
477.4,524.77,456.3,468.33
468.32,476.4,459.18,473.2
473.34,492,473.32,476.57
477.78,480,465,475.9
477.43,478,462,474.62
473.08,480.13,467.43,477.98
477.99,490,473.59,475.49
475.47,479.62,465.00781,469.47
469.47,527.99987,462,462.04
463.48,465.57,443.57,452.09
452.99,503.18147,400,425
426.62,429,375.93621,395.86
395.86,466.666,385.00001,408.76
410.92,450,385.01001,399.55
400.77,425,295,400.07
399.77,452.99999,393.6,438.97
440.85,449.18,412.33637,423.68
423.57,423.9,397,408.76
410,414.35,396.53,403.57
405.08,408.99,396.57,401.77
399.16,449.99795,368.9,375.35
375.35,393.99982,365.2,374.2
374.17,397.75,370.1167,391.09
389.56,393.79,377.01,384.86
384.85,385.82,370.10001,374.68
376.29,389.97999,353.75,358.74
358.71,369.6289,322.04,326.21
326.24,339.43,273.32564,323.52
322.82,349.84513,295.89,328.59
328.56,341.70602,312.37,334.8
334.8,370,326.93,355.73
355.73,399.996,335.16179,364.01
364.01,380.08,351.1,360.89
360.85,378.99999,352.1,362
362.77,383.6,352.83413,378.11
378.48,405,368.07,392.6
392.99,418.98998,390.48,403.38
402.01,404.32,385.47712,394.52
394.52,399,370.1,383.95
384.19,386,370.96,383.65
383.2,397.29,371.00373,390.58
390.59,394.25,385,387.53
389.06,391.24176,376.2,381.21
381,393.52,371.00001,385.81
385.79,393.49234,371.37843,382.04
382.05,384.55,352.4,357.18
356.81,373.69072,344.34,358.86
358.78,363.00001,341.22,348.69
348.69,384.71905,344.5,355.18
355.19,368.15412,349.21,350
351.03,365.12521,350.09,356.96
355.71,355.99,333.33,335.7
336.37,352.83,332.99,346.14
346.14,347.96,335.5,337.99
337.99,340.15346,316.61,324.7
324.55,329,318.24,324.36
324.23,333.99,322.74,325.5
326.45,332.9,320,330.22
329.96,348.20467,328.20467,338.38
338.37,353.1,336.27,349.99
349.99,352.15,333,342.16
342.16,349.99681,330.16235,345.39
346.19,366.35,338.66092,364.77
365.37,377.77,350.04915,366.43
366.43,372.63182,360.28,370.65
370.09,434.8,369.85,426.63
426.64,453.92,380,420.93
417.85,420.3,382.95,399.98
399.97,407.22,369,376.99
376.97,395,375,389.86
389.86,415,375,387.69
388.72,395,370.39134,374.88
374.87,392.95752,371.7,379.03
379.04,389.99797,351.8,356.47
356.47,360,342.05,351.2
351.19,369.99999,350.7,353.12
354.29,373.5,353.01,367.17
367.17,389.99,366.67,375.99
375.99,395.11,374.31,377.37
377.05,389.94381,363.38,368.5
368.5,385.68775,365.01441,369.98
369.98,387,358,376.86
376,387,372.25,375.49
375.48,386.31957,373.32,377.01
376.09,386.744,370.13181,376.53
376.53,386.15427,372.90994,379.52
379.52,384.88368,371.45606,375.33
376.61,380,360,369.16
369.89,380,365.61,376
376,394.59,367.00002,374.38
375.05,389.97692,370.43133,377.26
376.03,377.26,359.01,361.3
362.74,375.91714,342.46027,352.03
352.02,357.5,345,345.21
345.22,372.12219,339.8,348.9
348.88,360,346.77149,352.24
353.33,359.99921,347.03,351.67
351.67,359.3,347.44,356.52
357.3,358.98149,342.0358,349
348.85,358.91536,327.34,329.05
329.05,355.32632,315.02003,322
321.96,365,304.99,312.67
312.65,368.11872,307.11,318.33
318.58,348.99232,316.52,331.79
331.77,334.64022,318.78,320.01
320.88,333.99,319.9,331.56
332.52,342.07621,327.49,336.92
336.9,338.55338,320.38037,323.06
323.03,323.72,316.63,319.86
319.87,332,316.64,328.27
329.31,329.31,311.63,316.47
316.48,320.04136,311.22,317.64
317.64,325,310.26,313.01
313.36,338.95292,310,311.07
311.1,321,310.69,321
321,324.99787,312.6,313.81
313.82,320,311.96,315.42
315.42,319.9338,280,282
280,297.47622,255,264
264.55,280,252.31554,274.47008
260.00001,293.66025,260.00001,281.15113
269.00001,299.99973,269.00001,299.99973
290.00001,290.00001,283.52532,283.52532
290,305,272.45,293.97
293.89,296,271.03,275.59
275.6,280.94,262.08,266.39
266.34,292,263.02003,267.42
267.1,268.15,215.0901,227
227.01,230.9919,110.2,171.41
172,236.46589,150,210.98
210.69,225.5,189,208.03
208.02,212.84,184,199.69
199.69,222,195.02,211.85
211.8,225.51,206,216.34
216.01,219.84384,201.98,210.65
211.94,228.9,205,227.16
227.75,257.73,216.59,234.08
234.08,240,215,233.64
233.42,251.36381,215,249.19
249.33,257.06,241.28478,255.31
254.67,322.72,241.43,274.8
274.76,278.51,205.00002,263.98
263.97,279.99998,225.01593,236.07
236.07,245,220,235.03
235,244.98,220.00103,228.98
228.06,239.98083,215.75,216.9
218.67,239.98261,208.48,226.93
226.93,241.98,220.89,238.47
238.38,246.93235,223.79,228.71
228.44,231,220.02,227
227.11,229,210.43,216.75
216.46,226.64,210.59,223.2
223.2,231.57664,218.44062,229
229.29,232.89,217.28,223.99
223.92,228.95643,215,221.1
220.91,222,215,220.87
220.42,223.61,205,219.55
219.57,224.61,218,223
223.21,242.36,207,237
236.93,259.98,228,256.99
256.81,267.92,227.75,235.54
235.54,250.65756,227.6674,234.7
234.21,249.98294,230.29618,244.82
244.98,247,230.30013,237.49
237.51,245.01,235.58,241
240.61,249.32,239.41,245.34
245.54,248.43,240.12031,245.99
245.72,247.48,232.48,236.5
236.83,241,232,239.49
239.63,241.91,235.51,239.87
239.87,241,235.1,238.19
238.19,239.63507,234.01,237.11
237.21,259.41692,236.16,254.42
254.42,256.97,244.00001,255.61
255.77,262,240.00576,260.24
260.29,279.99798,250.06853,276.71
276.79,289.5,264.68794,283.25
281.03,287,264.94,273.37
270.72,281.09,262.2,276.56
276.86,280,260.00005,273.23
273.23,279.48,269.89856,276.71
276.86,279.99575,270.07622,275.5
275.47,297.50744,270.12774,290.19
290.18,299.999,283.96,291
290,299.93926,285.83,296.54
296.99,298.9,289,296.05
295.87,296.43,272,283.25
284.33,289,272.63893,283.94
282.36,289.24,281.42,287.99
287.99,294.99,285.78,292.37
292.36,294.96033,281.9,282.8
282.8,287,249.02,258.54
256.59,280.86996,249,263.03
263.21,272.48632,256.03388,263.34
261.92,263.62,256.25,261.82
260,272,258.0598,269.44
268.28,273.99,259.5,267.52
265.98,268.51,241.84,246.15
245,250.99964,234.51,246.88
247.06,268.99998,244.91,249.87
249.23,252,242.87629,247.94
247.93,255.69955,247.25,253.52
252.91,254,239.96,243.69
243.6,268.99959,236.52,247.95
247.95,259.99004,238.55,244.24
245.5,249.24224,239.32,246.69
246.68,256.96,240,254.39
253.22,257.43,249.37241,254.19
254.19,256.6,249.52004,254.36
254.6,262,251.65,261.47
261.49,263,253.01101,256.85
256.84,258.7,246.51001,254.24
253.71,258.23933,243.06,246.58
244.58,249.44738,238.47,244.72
244.46,245.85,231,236.77
236.78,242.4924,230.75821,237.91
236.09,239.99999,233.42,237.55
237.57,239.99999,219.64,225.52
222.97,231.84673,210,215.8
221.05,224.52,214.05,224.35
222.83,234.70359,222.44,229.45
229.45,230.52451,220,223.62
222.6,227.49,220.32,224.02
223.35,228.99999,221.91,222.54
222.54,227.99985,221.43,224.3875
224.3,236,223.91,235.89
235.71,238.89186,229.1,233.98
234,236.54,231,235.99
235.95,237.58149,228,231.52
231.49,233.67,225.7,226.12
226.12,227.91,214.98,221.26
221.28,238.55826,217.33855,227.58
227.17,233.25156,220.46,225.16
225.18,232.00202,220.2,225.73
225.78,240,224.6,236.2
236.47,239.23,230.51,233.14
233.15,239.0898,229.87,235.94
233.83,242.97,232.31,240.83
239.73,243.99,236.07,239.75
238.22,240,229.66,235.12
236.76,239.34991,227.001,229.99
230,242.44468,227,237.99
236.92,247.06,234.801,243.2
243.22,247.6,234.131,242.59
242.59,244.99,236.13,241.57
241.59,245.49,237.99,241.3
241.3,243.4,237.54,242.03
242.04,244.14,235.06,235.97
235.97,240,232.22,237.44
237.39,240.05,235.12,237.82
237.91,239.38678,234,236.73
235.43,238.45,234.15,235.97
237.1,237.89,231.44,234.04
234.04,234.92,230.86,231.4
231.4,235.05813,231,234.54
234.55,236.74,233.75,235
235.77,244,232.92,238.99
240.41,240.83735,237.39019,239.36
239.38,242,237.53117,240.82
240.68,241.4,233.1,237.43
237.39,238.34,234,235.71
235.71,238.75,234,237.35
237.35,238.48,234.03003,237.26
237.25,237.68,234,236.89
236.9,236.99,230.55425,233.55
233.61,235.85876,227.58963,230.19
230.18,232.40159,220.65,223.56
223.5,229.49815,221.34,225.84
225.17,229.47843,222.57,225.86
225.85,228.792,222,224.57
224.57,228.2972,219.03,224.97
225.03,225.65381,223.07,225.48
225.48,226.09,221.86,223.89
223.88,230.16,222.31,229.09
229.15,232.06,226.67,229.24
229.31,230.45,226.57075,227.88
227.8,231.58709,227.25,229.03
229.14,233.15352,228.29,229.4
229.2,233.49,226.14462,233.47
231.64,235,230.94,232.09
232.08,238.5,231.34251,235.92
236.92,253.26,233.81721,250.09
251.88,259.46,243.2,247.76
247.76,253.29,240,249.27
249.36,251.05,242.14,243.7
243.75,246.99,239.93,246.13
244.65,246.98,238.05336,244.66
244.66,248.5,242.64,246
245.99,248.06,242.14,244.52
244.54,244.92,238.2,240.04
240.14,243.99919,239.18,241.98
242.08,243.99982,239.91,243
242.99,252.22,242.36,251.21
251.46,260,247.04,249.11
249.11,268.49818,248.3,256.04
257.53,273,255,262.5
263.83,265.45,253.81,259.02
258.96,262,253,254.85
254.86,272.99996,252.4,256.92
256.06,262.99948,254.05,260.64
260.64,275.25,257.11755,271.74
271.39,278.54,267.13,268.51
268.53,272.16381,264.01,265.51
266.18,276.32316,263.01,270.97
271.5,275.66538,265.92,268.92
269.77,297,268.63,285.23
286.71,299,283.05827,294.23
294.29,317.99,291.65,312.16
312.19,312.91,269,293.08
292.93,297.78,286.02,287.51
287.49,294.11,284.29,285.7
285.67,292.78,273.40259,279.38
279.38,281.38,272.31,280.58
280.14,283,274.92386,277.71
276.74,279.57307,274.31656,275.61
275.6,280.40143,273.34,278.96
278.95,281.40693,276.28,277.32
277.33,279.38271,275,277.89
277.5,279.75,275.79,277.39
277.23,291.52,275.9,289.12
289.12,292,286.5,289.7
289.68,294.49,287.41,293.19
293.88,297.44,286.43,294.21
294.22,298,287,295.76
295.74,296.58,280.00001,289.85
289.85,291.56,280.00001,288.49
288.49,293.47977,280.00001,285.19
285.2,292,276.66,281.53
281.53,289.88983,276.57,282.62
282.62,285.86,279.52,280.95
280.95,287.68162,280.11,285
285.6,287.77,280.63,281.13
282.44,286.95751,276.6,279.65
279.37,290,274.15182,279.63
280.06,283.77999,259.20268,262.02
262.02,269.76927,258,267.63
267.6,273.88,261.6,264.33
264.11,271.99,260,271.15
271.15,272.4,265.48598,267.73
267.53,268,261.6437,264.67
264.48,270,262,266.17
266.21,269.21723,260.45,262.46
261.46,270,254.01,259.2
259.2,263.12,254.63,257.31
257.56,259.93483,188.10761,221.99
221.99,245,204.39327,230.084
227.46,238.70954,226.4,235.54
235.15,238.70966,231.15,232.85
232.85,235.53,222.68,231
231,234.03,225.85,229.21
229.23,229.24,207.73,209.72
211.16,235.98998,198.02,222.38
222.38,243.3788,219.77,226.81
225.8,233,223.17,225.09
225.62,237.9801,220.29,231.55
231.55,234.97411,226.67,230.61
230.61,233.47,225.04,229
229.4,233.51,224.39,230.75
230.25,233.5,226.17,228.22
227.97,232.99117,226,229.92
229.95,231.13283,226.17,227.25
227.24,232.49,226.33,231.39
230.72,237.24,229.23,236.01
236.17,244.82,235.02,240.28
241.26,242.98,238.44,241.31
241.31,247.82,239.98,244.14
244.04,244.9708,237.01,238.75
238.35,241.65,234.78,238.52
238.55,242.11885,237.5,240.9
240.9,241.6,233.02,236.5
236.5,236.96,228,230.82
230.83,233.99,223.99,229.71
229.84,232.43,226.5,230.03
230.67,232.19999,223,229.73
228.34,236,227,233.34
233.31,235.49999,230.83,233.78
233.78,234.31,229.89,230
232.88,234,229,232.24
232.26,233.64,225,227.31
227.31,233.85819,223.1,231.28
230.08,233,228,230.26
230.26,235.99,228.89,235.27
233.88,237.62,232.35515,235.89
235.14,236.2,233,233.81
233.81,235.03,230.62,233.58
233.53,240.52,231.69,239.99
239.96,241.05,235.0046,236.89
236.78,238.75,234.67,236.2
235.87,239.86,234.58813,237.15
238.34,239.85654,235,237.77
238.31,240.62,236.3,239.92
239.06,240.28,237.6,238.6
238.6,240.98,236.1,240.84
240.93,248.38999,239.52,246.64
246.7,247.96,234.55,244
244,245.38,233,242.94
242.94,244.95,241.1,244.35
244.44,246.43,243,245.71
246.06,250,244.53,249.02
248.05,249.14,244.00006,246.39
246.43,251.5,242.82,250.99
250.98,255.93,241,253.27
253.25,256.77,250.3,254.49
254.98,268.50765,253.00001,263.43
263.09,274.81,260.8,270.07
270.04,273.5,251,261.05
265,268.23,258.86,263.66
264.28,272.95,262.67,271.14
270.3,272.85,264,268.77
268.77,280.04,263.73009,275.84
275.76,281.17,270,278.6
278.76,284.49,277.8,284.29
283.03,296,282.2,284.97
284.97,287.68,279.25,287.1
287.1,300,285.239,295.61
295.8,308.93,290.00002,304.09
305.67,320.99,296.4,316.08
312.026,336.97,311.7704,329.11
329.11,334.67,302.99,310.18
314.84,332,303.01,329.46
325.78,371.82,314,361.74
361.26,422.3,307.23,404.06
404.55,502,368.11,408
407.99,450,341,387.21
387.21,396.67,346.34009,374.47
374.41,392.82,368,383.53
384.8,390.47,352,373.83
372.86,386.96,350,377.9
378.02,382.23,322,336.8
335.02,341.75,293.32,309.91
309.95,344.99,301.56,336.49
337,343,325,336.99
336.98,356.1,325.45,333
334.67,336.46,314.6,319.28
319.29,334.1,315,332.89
332.85,350.44,329,336.49
336,338,326.00001,335.65
335.68,336.48,323.07088,326.41
326.53,327.73,310,322.04
322.39,328.94,316.33,327
326.99,327,319.03328,324.2
323.72,326.09,319,323
323.01,325,316.01323,319.7
320.96,330.84,316,328.98
328.9,370,328.53,352.57
352.56,364.8,347.84,358.19
358.2,359.63,350.27786,357.24
357.24,373.76998,353.03001,371.48
371.2,383,367.11,376.86
376.7,379,354.56,362.68
362.68,363.06,347.55,360
359.11,370.53,356.21,361.77
361.48,365.0826,355.43,363.98
363.98,390.58431,363,387.99
388.03,404.21397,375.22,387.55
388.54,399.91,381.01,395.58
395.57,418.94,386.69,417.89
416.67,425,400,416.98
418.39,420,408,415.68
415.68,454.48,415.13,452.95
452.95,469.34,403,436.87
436.08,443.83,418.36999,433.07
433.13,450,426.21,444.01
444.03,464.99,430.01,464.27
464.53,465,436.89,455.87
453.96,459.15315,445.00001,456.17
455.5,467.69074,452.27193,463.17
463.14,465.9,451.58,461.8
461.89,462,430,442.22
442.36,450,424.66,436.81
438.14,444.25,432.58,433.92
433.94,445.99,428.29,442.43
442.43,460,442.42,455.74
455.74,458.99,448,455.84
455.82,458.29,407.25,419.41
417.11,429.85,409.40689,421.76
421.78,429.9,417.01,421.46
421.94,433.9,418.55,431.82
433.89,434.99999,420,427.95
427.9,434,416.60843,430.34
430.35,437.15,427.2,433.82
435.67,437.56,430.32476,435.4
433.2,435.75,422.98,431.91
431.54,435.86,426.56,434.17
433.31,435.64,429,433.34
433.32,433.46,426.54,430.87
430.66,460.15,427.78067,459.07
459.07,465,444.51,454.44
452.02,459.87181,446.68,448.84
450.39,451.39,440.8,448.79
448.2,454.53,438,448
449.26,451.3155,431.83,434.85
440,455,424.5,432.77
432.7,437.15,427,430.03
430.04,430.91,357.3,360
360.62,392.5201,350.92,386.91
387.8,395,372,380.16
378.47,391.82,370.1,384.89
384.79,390.97,370,376.76
375.28,425.1272,369,418.54
418.89,425.78,403.21,409.59
409.42,413.99,373.86,382.55
382.93,398.72,381.05,386.4
386.37,406.93,385.36,402.16
402.16,403.04,385.5,391.4
391.4,406.69999,386.2,391.54
391.7,397.18,390.31,394.95
394.6,395.56,376,379.75
379.63,385.05,363.25,378.22
378.68,382.04,372.95,378.46
378.46,382.5,364.7,367.95
367.89,379,366.26,371.33
371.33,375,369.73,372.93
372.93,374,365,368.87
368.87,391.88,367.95,387.82
387.99,390.51,382.47764,384.5
384.44,384.98,367.70524,375.7
375.44,381.22988,371.5501,377.49
377.47,379.35,369.99,370.91
370.95,381.39723,369.12,373.2
372.76,384.75592,371.70825,379.66
378.49,383.95,361.1,378.23
378.23,383.48999,375.76,383.27
382.05,395.59,380.91001,391
